p1	p2	n	r	p.value
protein149	protein64	11	0.287987048413163	0.477
protein177	protein64	12	0.22236529810631	0.55
protein218	protein64	12	0.407374251108445	0.331
protein2	protein64	12	0.353272414375787	0.393
protein137	protein65	12	-0.185844651162653	0.976
protein149	protein65	11	0.207640741778756	0.567
protein177	protein65	12	0.24287619658801	0.515
protein218	protein65	12	0.335986504171454	0.421
protein2	protein65	12	0.211958158165967	0.56
protein137	protein66	12	-0.121904888337274	0.953
protein149	protein66	11	0.201637940023726	0.576
protein177	protein66	12	0.253225949200685	0.508
protein218	protein66	12	0.409504305366579	0.329
protein2	protein66	12	0.301591330077225	0.463
protein137	protein67	12	0.431929089342962	0.306
protein149	protein67	11	0.536058365808574	0.167
protein177	protein67	12	0.760703781328426	0.014
protein218	protein67	12	-0.0704742773929152	0.915
protein2	protein67	12	0.649489742962899	0.081
protein137	protein68	12	0.37484895522734	0.367
protein149	protein68	11	0.0506928538566664	0.773
protein177	protein68	11	0.15934981006595	0.621
protein218	protein68	12	-0.0483262412682295	0.885
protein2	protein68	11	0.0453168338918149	0.784
protein137	protein69	12	0.369399488708258	0.375
protein149	protein69	11	-0.138144297326057	0.961
protein177	protein69	11	0.0726871953864309	0.737
protein218	protein69	12	0.0967326110162488	0.712
protein2	protein69	11	-0.131885607704219	0.956
protein137	protein6	12	0.223655487084833	0.545
protein149	protein6	11	-0.106230919061088	0.946
protein177	protein6	11	-0.0709285332698453	0.915
protein218	protein6	12	-0.192127978052671	0.978
protein2	protein6	11	-0.104814661319952	0.946
protein137	protein70	12	0.369903024609849	0.375
protein149	protein70	11	-0.046345111500722	0.883
protein177	protein70	11	0.144862481023103	0.645
protein218	protein70	12	0.0667996595397497	0.744
protein2	protein70	11	-0.0329764775780983	0.876
protein137	protein71	12	0.323187415418159	0.432
protein149	protein71	11	-0.142183741660458	0.967
protein177	protein71	11	0.0506700542791852	0.773
protein218	protein71	12	0.125827831682859	0.673
protein2	protein71	11	-0.137916639674731	0.961
protein137	protein72	12	0.366177907784526	0.382
protein149	protein72	11	-0.0415630512682096	0.881
protein177	protein72	11	0.130480537007883	0.668
protein218	protein72	12	0.0446233647539297	0.784
protein2	protein72	11	-0.0109136820848146	0.861
protein137	protein73	12	0.372858455769382	0.37
protein149	protein73	11	-0.0347861743608659	0.877
protein177	protein73	11	0.142207759925576	0.651
protein218	protein73	12	0.0563481897379566	0.76
protein2	protein73	11	-0.0100227973745844	0.86
protein137	protein74	12	0.339238564126323	0.418
protein149	protein74	11	-0.125623928884458	0.953
protein177	protein74	11	0.0499957456806053	0.776
protein218	protein74	12	0.0565168036744621	0.76
protein2	protein74	11	-0.106480125327346	0.946
protein137	protein75	12	0.281024227613166	0.482
protein149	protein75	11	-0.120823983383405	0.953
protein177	protein75	11	0.0599192647842949	0.755
protein218	protein75	12	0.0673364156895576	0.744
protein2	protein75	11	-0.104003021119217	0.946
protein137	protein76	12	0.34104843317815	0.413
protein149	protein76	11	-0.138133680206739	0.961
protein177	protein76	11	0.0600635517827842	0.755
protein218	protein76	12	0.126728651139877	0.672
protein2	protein76	11	-0.15055122073308	0.972
protein137	protein77	12	0.316967990878741	0.441
protein149	protein77	11	0.0122001029918136	0.815
protein177	protein77	11	0.118355352351487	0.688
protein218	protein77	12	-0.0245864628853618	0.865
protein2	protein77	11	-0.0632269289770441	0.912
protein137	protein78	12	0.39070595614128	0.347
protein149	protein78	11	-0.0568576011803801	0.903
protein177	protein78	11	0.1344754459155	0.662
protein218	protein78	12	0.0507800946809488	0.773
protein2	protein78	11	-0.0313551590518631	0.875
protein137	protein79	12	-0.0302239399002301	0.871
protein149	protein79	11	0.385291851886761	0.354
protein177	protein79	12	0.605560164563854	0.111
protein218	protein79	12	-0.238232592987109	0.986
protein2	protein79	12	0.517105523573382	0.185
protein137	protein7	12	0.830158675638178	0
protein149	protein7	11	0.15110259548676	0.638
protein177	protein7	11	0.768664627812962	0.009
protein218	protein7	12	-0.0254751262419162	0.865
protein2	protein7	11	-0.00468586000704053	0.851
protein137	protein80	12	0.00911347166418514	0.821
protein149	protein80	11	-0.212732679703717	0.98
protein177	protein80	12	0.820129744025788	0
protein218	protein80	11	0.0480223393978369	0.78
protein2	protein80	12	0.727089216255057	0.031
protein137	protein81	12	-0.0269354380575491	0.865
protein149	protein81	11	0.392679439779982	0.342
protein177	protein81	12	0.465991999990193	0.266
protein218	protein81	12	-0.233456162200344	0.986
protein2	protein81	12	0.384760453693435	0.355
protein137	protein82	12	-0.0526396267850202	0.895
protein149	protein82	11	0.390670831064088	0.347
protein177	protein82	12	0.498293441025136	0.211
protein218	protein82	12	-0.235783833685512	0.986
protein2	protein82	12	0.42498468540316	0.31
protein137	protein83	12	-0.140690894097609	0.963
protein149	protein83	11	0.290003636220911	0.471
protein177	protein83	12	0.72929383581416	0.029
protein218	protein83	12	-0.263169771720005	0.993
protein2	protein83	12	0.638235219889004	0.091
protein137	protein84	12	-0.134516975583736	0.959
protein149	protein84	11	0.313826496505146	0.443
protein177	protein84	12	0.739559851064687	0.024
protein218	protein84	12	-0.253937774440553	0.992
protein2	protein84	12	0.644655565212485	0.085
protein137	protein85	12	-0.142219002453877	0.967
protein149	protein85	11	0.390676329374829	0.347
protein177	protein85	12	0.579540377009916	0.129
protein218	protein85	12	-0.217697383877987	0.98
protein2	protein85	12	0.493625468932596	0.225
protein137	protein86	12	-0.124273501710572	0.953
protein149	protein86	11	-0.238677727368937	0.988
protein177	protein86	12	0.737742556406165	0.024
protein218	protein86	12	-0.344787666335716	0.998
protein2	protein86	12	0.658165692386336	0.076
protein137	protein87	12	0.0312666825895817	0.804
protein149	protein87	11	-0.132077313515846	0.956
protein177	protein87	12	0.346477638611649	0.405
protein218	protein87	12	-0.267396394382135	0.994
protein2	protein87	12	0.282800331895033	0.482
protein137	protein88	12	0.271421632237346	0.485
protein149	protein88	11	0.559766156483319	0.145
protein177	protein88	12	0.91194745402965	0
protein218	protein88	12	-0.00159737914172631	0.848
protein2	protein88	12	0.822045040612638	0
protein137	protein89	12	0.299090343781669	0.463
protein149	protein89	11	0.570527311068283	0.135
protein177	protein89	12	0.913691710738102	0
protein218	protein89	12	-0.0109978865805249	0.861
protein2	protein89	12	0.822448712921701	0
protein137	protein8	12	0.664751775940223	0.067
protein149	protein8	11	0.207296189726122	0.567
protein177	protein8	12	0.619944081189695	0.105
protein218	protein8	12	0.450893466996929	0.287
protein2	protein8	12	0.403197076448768	0.335
protein114	protein90	12	-0.211562038673572	0.98
protein137	protein90	12	-0.121196932860882	0.953
protein149	protein90	11	-0.224442278540339	0.98
protein177	protein90	11	-0.17003431031864	0.975
protein218	protein90	11	-0.0443918833561808	0.882
protein2	protein90	11	-0.0414337734781933	0.881
protein31	protein90	12	-0.0616809892493299	0.912
protein137	protein91	12	0.366910349890667	0.381
protein149	protein91	11	0.422373988881841	0.311
protein177	protein91	12	0.918327131568345	0
protein218	protein91	12	-0.0742021467215441	0.917
protein2	protein91	12	0.813090999679285	0
protein137	protein92	12	-0.0766450048466494	0.925
protein149	protein92	11	-0.277586092209925	0.996
protein177	protein92	12	0.632874484739775	0.095
protein218	protein92	12	-0.191362114503582	0.978
protein2	protein92	12	0.557025831015122	0.15
protein137	protein93	12	-0.0657502361570359	0.912
protein149	protein93	11	-0.118740344405674	0.952
protein177	protein93	11	-0.185651669768485	0.976
protein218	protein93	12	-0.323556442242769	0.998
protein2	protein93	11	0.00124258641378885	0.846
protein137	protein94	12	0.11112621108494	0.696
protein149	protein94	11	-0.255467984377131	0.992
protein177	protein94	11	-0.208355740783596	0.98
protein218	protein94	12	-0.0811340398277453	0.928
protein2	protein94	11	-0.180700613761505	0.976
protein137	protein95	12	-0.173227051080123	0.975
protein149	protein95	11	-0.21527495192862	0.98
protein177	protein95	11	-0.276553779449317	0.995
protein218	protein95	12	-0.372205458082613	0.998
protein2	protein95	11	-0.118258818170153	0.952
protein137	protein96	12	0.14243561566702	0.651
protein149	protein96	11	0.270099497236017	0.487
protein177	protein96	12	-0.12342219051702	0.953
protein218	protein96	12	0.269782098432928	0.488
protein2	protein96	12	0.221985054313915	0.55
protein137	protein97	12	0.280650504119027	0.482
protein149	protein97	11	-0.0816672046652338	0.928
protein177	protein97	12	0.863973740585918	0
protein218	protein97	12	-0.0236154508849962	0.865
protein2	protein97	12	0.766380985796088	0.009
protein137	protein98	11	0.278707447595393	0.482
protein177	protein98	11	0.781512873782621	0
protein218	protein98	11	0.18986571607342	0.585
protein2	protein98	11	0.868194469342853	0
protein137	protein99	11	0.0737923674076207	0.737
protein177	protein99	11	0.852324237983121	0
protein218	protein99	11	0.166635349765999	0.617
protein2	protein99	11	0.833816187639136	0
protein137	protein9	12	0.641554705698057	0.089
protein149	protein9	11	0.210120415223869	0.561
protein177	protein9	12	0.603944917275431	0.111
protein218	protein9	12	0.262500077467875	0.498
protein2	protein9	12	0.3983968024893	0.337
protein100	protein114	14	0.041294409190501	0.942
protein101	protein114	14	0.334953728949245	0.422
protein102	protein114	14	0.362811239734918	0.373
protein103	protein114	14	0.229067622918918	0.656
protein105	protein114	13	0.0538452387588222	0.929
protein106	protein114	14	0.234082429787403	0.645
protein108	protein114	13	0.0112267563064657	0.957
protein109	protein114	13	0.462196231442289	0.194
protein10	protein114	14	0.481672891740232	0.161
protein110	protein114	14	0.423243943786933	0.26
protein111	protein114	14	0.064761937983895	0.912
protein112	protein114	14	-0.0677322364574267	0.987
protein113	protein114	14	0.597258864281535	0.065
protein114	protein115	14	0.42496846788532	0.259
protein114	protein116	14	0.584301635566384	0.069
protein114	protein117	13	-0.0429223999212392	0.98
protein100	protein118	14	-0.0303667059697274	0.978
protein101	protein118	14	0.12988985135747	0.843
protein102	protein118	14	0.106836345211841	0.877
protein103	protein118	14	-0.0502744079433307	0.985
protein105	protein118	14	-0.217819785759228	0.998
protein106	protein118	14	-0.0370920031591003	0.979
protein107	protein118	14	0.00759608043294049	0.964
protein108	protein118	14	-0.0101020973424762	0.972
protein109	protein118	14	-0.293352007712302	1
protein10	protein118	14	-0.175915708948808	0.996
protein110	protein118	14	-0.192052798431292	0.997
protein111	protein118	14	-0.0907547337682132	0.993
protein112	protein118	14	-0.0940629369192059	0.993
protein113	protein118	14	0.17969480527036	0.761
protein115	protein118	14	-0.0813036747744176	0.992
protein116	protein118	14	-0.241248033934827	0.998
protein117	protein118	14	0.465637869704095	0.185
protein100	protein119	14	-0.102772871509413	0.993
protein101	protein119	14	-0.114924249991297	0.993
protein102	protein119	14	-0.12795717930139	0.995
protein103	protein119	14	-0.0395303642664371	0.979
protein105	protein119	14	-0.254809762882394	0.998
protein106	protein119	14	-0.11419716912204	0.993
protein107	protein119	14	-0.296284458578158	1
protein108	protein119	14	-0.0937222524938081	0.993
protein109	protein119	14	-0.301298192901743	1
protein10	protein119	14	0.0207531797502138	0.953
protein110	protein119	14	-0.145573446513632	0.996
protein111	protein119	14	-0.0467099055426121	0.984
protein112	protein119	14	-0.0458590919852139	0.982
protein113	protein119	14	0.16249703964506	0.789
protein115	protein119	14	0.117567212637217	0.864
protein116	protein119	14	-0.162182186214921	0.996
protein117	protein119	14	-0.159208568200671	0.996
protein118	protein119	14	0.358456070939089	0.378
protein114	protein11	14	0.198889831633105	0.721
protein118	protein11	14	0.141295079011931	0.826
protein119	protein11	14	0.015587152423616	0.954
protein100	protein120	13	0.264905493105238	0.581
protein101	protein120	13	0.703685949064174	0.041
protein102	protein120	13	0.722114046716689	0.037
protein103	protein120	13	0.484735523450678	0.156
protein105	protein120	13	0.199678438985625	0.718
protein106	protein120	13	0.546804225220773	0.085
protein107	protein120	13	-0.0112875832267301	0.972
protein108	protein120	13	0.513173999964236	0.109
protein109	protein120	13	-0.185338577443679	0.997
protein10	protein120	13	0.930318054934113	0
protein110	protein120	13	0.859639269540062	0.002
protein111	protein120	13	0.697683400284623	0.042
protein112	protein120	13	0.688444253398228	0.047
protein113	protein120	13	-0.0162792971808725	0.976
protein115	protein120	13	0.863322207685602	0
protein116	protein120	13	0.676291676583863	0.051
protein117	protein120	13	0.374739622633817	0.349
protein118	protein120	13	-0.184500293858188	0.997
protein119	protein120	13	-0.100502180083963	0.993
protein11	protein120	13	0.746049286584564	0.03
protein114	protein121	14	-0.147758151699912	0.996
protein118	protein121	14	-0.121551976172359	0.995
protein119	protein121	14	-0.0827847715540179	0.992
protein120	protein121	13	0.647616259066708	0.057
protein114	protein122	13	0.562660465400533	0.079
protein118	protein122	14	-0.173343437987999	0.996
protein119	protein122	14	-0.0331720590635758	0.978
protein120	protein122	13	0.935889074095517	0
protein114	protein123	14	0.416080998741721	0.278
protein118	protein123	14	0.35697449655354	0.38
protein119	protein123	14	0.0278999765833992	0.952
protein120	protein123	13	-0.0577435052739343	0.986
protein114	protein124	14	0.320647041947177	0.454
protein118	protein124	14	0.0561913602626903	0.924
protein119	protein124	14	-0.183316493325408	0.997
protein120	protein124	13	0.495273605567031	0.148
protein114	protein125	14	0.325878275599988	0.437
protein118	protein125	14	-0.17099531824277	0.996
protein119	protein125	14	-0.105086957855716	0.993
protein120	protein125	13	0.556863902947193	0.08
protein114	protein126	13	0.160479297846612	0.79
protein118	protein126	14	-0.242933938622882	0.998
protein119	protein126	14	0.0386890257012481	0.942
protein120	protein126	13	0.711770705762109	0.04
protein114	protein127	14	0.531075087865978	0.092
protein118	protein127	14	-0.175099259713788	0.996
protein119	protein127	14	-0.0816538500454858	0.992
protein120	protein127	13	0.915524614632853	0
protein114	protein128	13	0.326006121878981	0.437
protein118	protein128	14	-0.0346889748295517	0.979
protein119	protein128	14	-0.0202021895228432	0.977
protein120	protein128	13	0.551096258472527	0.084
protein114	protein129	13	0.350551542344087	0.397
protein118	protein129	14	-0.0982467445454338	0.993
protein119	protein129	14	0.0267823282991607	0.952
protein120	protein129	13	0.543906693731045	0.087
protein114	protein12	14	0.442899812747187	0.22
protein118	protein12	14	0.144786402328385	0.823
protein119	protein12	14	0.0109078033497646	0.957
protein120	protein12	13	0.739778926709057	0.033
